Parent,Name,URL
root,Human Resources,http://www.recruit-rgf.com/service/human_resources/
root,IT &Trends Media,http://www.recruit-rgf.com/service/it_trends/
root,Education,http://www.recruit-rgf.com/service/education/
root,Travel,http://www.recruit-rgf.com/service/travel/
root,Housing,http://www.recruit-rgf.com/service/housing/
root,Bridal,http://www.recruit-rgf.com/service/bridal/
root,Automobiles,http://www.recruit-rgf.com/service/automobiles/
root,Dining,http://www.recruit-rgf.com/service/dining/
root,Beauty,http://www.recruit-rgf.com/service/beauty/
root,Life & Local Info,http://www.recruit-rgf.com/service/local_life/
Human Resources,Finding Employment,http://www.recruit-rgf.com/service/human_resources/finding_employment/
Human Resources,Changing Jobs,http://www.recruit-rgf.com/service/human_resources/changing_job/
Human Resources,Part-Time Jobs,http://www.recruit-rgf.com/service/human_resources/part-time_jobs/
Human Resources,Temporary Staffing,http://www.recruit-rgf.com/service/human_resources/temporary_staffing/
Human Resources,Self-Employment / Independent Businesses / Others,http://www.recruit-rgf.com/service/human_resources/sif/
Human Resources,Research,http://www.recruit-rgf.com/service/human_resources/research/
Finding Employment,Rikunabi,http://job.rikunabi.com/
Finding Employment,Indeed.com,Indeed.com
Finding Employment,SPI3,http://www.spi.recruit.co.jp/
Finding Employment,Work In Japan,http://workinjapan.cn/
Finding Employment,Hatalike,http://www.hatalike.jp/h/r/H100010s.jsp?__u=1455263584318-8926304614835521530
Finding Employment,Shushoku Shop,http://www.ss-shop.jp/
Finding Employment,Rikunabi Direct,http://rikunabi-direct.jp/
Finding Employment,Shushoku Journal,http://journal.rikunabi.com/
Changing Jobs,Recruit Medical Career,http://www.recruit-mc.co.jp/
Changing Jobs,Recruit Executive Agent,http://www.recruit-ex.co.jp/en/
Changing Jobs,CAREER CARVER,https://careercarver.jp/
Changing Jobs,CDS (CDSi K.K.),http://www.cds-consulting.com/e/
Changing Jobs,Indeed.com,Indeed.com
Changing Jobs,Townwork Shain,https://townwork.net/kantou/shain/
Changing Jobs,Rikunabi Next,http://next.rikunabi.com/
Changing Jobs,Recruit Agent,http://www.r-agent.co.jp/
Changing Jobs,Shushoku Shop,http://www.ss-shop.jp/
Changing Jobs,Rikunabi Next Tech Soken,http://next.rikunabi.com/tech_souken/
Changing Jobs,RGF Executive Search,http://www.rgf-executive.com/
Changing Jobs,Hatalike,http://www.hatalike.jp/h/r/H100010s.jsp?__u=1455263584318-8926304614835521530
Changing Jobs,CodeIQ,https://codeiq.jp/
Changing Jobs,RGF HR Agent,http://www.rgf-hragent.asia/en/hongkong
Changing Jobs,Minna-no-Kyujinban,http://kyujinban.jp/
Changing Jobs,Travaille,http://toranet.jp/t/r/T100010s.jsp
Changing Jobs,BRecruit,http://www.brecruit.com/index.html
Changing Jobs,Bó Lè Associates,http://www.bo-le.com/
Part-Time Jobs,Indeed.com,Indeed.com
Part-Time Jobs,Minna-no-Kyujinban,http://kyujinban.jp/
Part-Time Jobs,From A Navi,http://www.froma.com/
Part-Time Jobs,Travaille,http://toranet.jp/t/r/T100010s.jsp
Part-Time Jobs,Townwork,https://townwork.net/
Temporary Staffing,Staff Service Group,http://www.staffservice.co.jp/
Temporary Staffing,Staffmark,http://www.staffmark.com/home/
Temporary Staffing,CSI,http://thecsicompanies.com/
Temporary Staffing,Advantage Resourcing,http://www.advantageresourcing.com/home.aspx?p_PageAlias=home
Temporary Staffing,Peoplebank Australia,https://www.peoplebank.com.au/?
Temporary Staffing,Travaille,http://toranet.jp/t/r/T100010s.jsp
Temporary Staffing,Rikunabi Haken,http://haken.rikunabi.com/
Temporary Staffing,Recruit Staffing,http://www.r-staffing.co.jp/
Temporary Staffing,Chandler Macleod Group Limited,http://www.chandlermacleod.com/
Temporary Staffing,Atterro,http://atterro.com/
Self-Employment / Independent Businesses / Others,Recruit Management Solutions,http://www.recruit-ms.co.jp/
Self-Employment / Independent Businesses / Others,Recruit Learning Club,http://recruit-lc.jp/
Self-Employment / Independent Businesses / Others,ReCoBook,http://www.recobook.recruit.co.jp/
Self-Employment / Independent Businesses / Others,Recruit Management School,http://www.recruit-ms.co.jp/open-course/
Self-Employment / Independent Businesses / Others,Entre,http://entrenet.jp/
Research,Recruit Management School,http://www.recruit-ms.co.jp/open-course/
Research,Recruit Learning Club,http://recruit-lc.jp/
Research,Recruit Management Solutions,http://www.recruit-ms.co.jp/
Research,Works,http://www.works-i.com/english/
IT &Trends Media,Information for Business People,http://www.recruit-rgf.com/service/it_trends/
IT &Trends Media,Information for Working Women,http://www.recruit-rgf.com/service/it_trends/
Information for Business People,R25,http://r25.yahoo.co.jp/
Information for Working Women,L25,http://l25.jp/
Education,University / College,http://www.recruit-rgf.com/service/education/
Education,Other Education Information,http://www.recruit-rgf.com/service/education/
University / College,Jyuken Sapuri,https://jyukensapuri.jp/
University / College,Rikunabi Shingaku Book,http://www.recruit-rgf.com/service/education/shingaku-b.html
University / College,Rikunabi Shingaku,http://shingakunet.com/
Other Education Information,Eitango sapuri,https://eitangosapuri.jp/
Other Education Information,Benkyo Sapuri,https://benkyosapuri.jp/
Other Education Information,Eikaiwa Sapuri,https://eikaiwasapuri.jp/
